OBJECTID,StreetID,Name,Type,LeftFrom,LeftTo,RightTo,SegmentID,Surface,Class,Curb,Width,Miles,Cross1,Cross12,Cross2,Cross22,GlobalID
5670,876.0,FRIENDSHIP,LN,1614,1806,1807,8183,Unpaved,Private,,,0.33422,,MEADOWBROOK TRL,E HATTERLEIGH AVE,,{129DE351-1DDC-4240-A883-B935EEC8A63D}
5671,987.0,GUESS,RD,8605,8607,8620,8188,Asphalt,Major Coll,No,,0.0371,BROMLEY RD, ,ALEXANDRA WOODS LN, ,{06557C4A-A58C-467F-A364-6DFC6AE807FE}
5672,987.0,GUESS,RD,8601,8603,8604,8189,Asphalt,Major Coll,No,,0.06224,BROMLEY RD, ,ALEXANDRA WOODS LN, ,{37649909-DBC7-41A0-9890-9C551622474B}
5673,987.0,GUESS,RD,3900,3940,3939,8190,Asphalt,Major Coll,No,,0.28281,BROMLEY RD, ,BROMLEY RD, ,{4702636A-5055-4DB4-8E73-0A3B38266EB5}
5674,3980.0,NATALIE,AVE,1001,1049,1050,8191,Unpaved,Private,No,,0.33303,NC 54 W,,NC 54 W,,{70E2DE51-42A5-460A-B8A9-3EFA3E80A730}
5675,1164.0,NC 54, ,1900,1910,1911,8192,Asphalt,Minor Art,No,,0.06864,O'DAY DR, ,GREENFIELD RD, ,{5B03DB7B-5343-4546-A320-B83658FC3801}
5676,1164.0,NC 54, ,1822,1828,1829,8193,Asphalt,Minor Art,No,,0.05483,O'DAY DR, ,NATALIE AVE, ,{E1D75567-6918-4DD2-B516-03E8D7DB3FB7}
5677,3724.0,LOST,WAY,500,524,525,8197,Unpaved,Private,No,,0.18792,,,,,{3A0161F6-F095-4692-AB48-23AC0D56DBFF}
5678,740.0,EDMUND LATTA,RD,3004,3826,3831,8199,Asphalt,Local,No,,1.89315,AJACK LATTA AVE, ,NC 57,NC 57,{D867DB51-9834-48E7-853A-AACBD5CF77F2}
5679,740.0,EDMUND LATTA,RD,3000,3002,3003,8200,Asphalt,Local,No,,0.06143,PHELPS RD, ,AJACK LATTA AVE,,{3663FF50-D3B5-476E-8FFF-C5FC7B0454A4}
5680,1623.0,MURPHY SCHOOL,RD,4800,4998,4999,8201,,Local,,,0.37454,DUKE FOREST RD, ,BLUEBIRD TRL, ,{5A759461-2D02-4DCE-9250-FB917A904473}
5681,1623.0,MURPHY SCHOOL,RD,5072,5134,5135,8202,,Local,,,0.25074,BLUEBIRD TRL, ,MT SINAI RD, ,{867ACEE7-9573-4387-B74E-9C0945D01FF1}
5682,1874.0,PICKARDS MEADOW,RD,8300,8324,8325,8204,Unpaved,Private,No,,0.35426, , ,THOMAS BERRY WAY,,{A5FF2B05-F928-48DC-9BDD-D90B9B0ED86A}
